indicator_code,indicator_name,unit,domain,data_type,country_code,country_name,region,income,year,query_type,ground_truth_value,prompt_type,prompt_text,ground_truth_latest_year,ground_truth_latest_value
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,ALB,Albania,ECA,UMC,2028,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Albania in 2028?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,AZE,Azerbaijan,ECA,UMC,2029,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Azerbaijan in 2029?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,BHR,Bahrain,MNA,HIC,2026,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Bahrain in 2026?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,BLR,Belarus,ECA,UMC,2029,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Belarus in 2029?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,CAF,Central African Republic,WCA,LIC,2028,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Central African Republic in 2028?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,COM,Comoros,ESA,LIC,2025,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Comoros in 2025?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,CYP,Cyprus,ECA,HIC,2029,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Cyprus in 2029?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,DZA,Algeria,MNA,LMC,2025,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Algeria in 2025?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,GEO,Georgia,ECA,UMC,2028,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Georgia in 2028?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,GNB,Guinea-Bissau,WCA,LIC,2029,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Guinea-Bissau in 2029?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,IRN,Iran,MNA,UMC,2027,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Iran in 2027?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,KGZ,Kyrgyzstan,ECA,LMC,2027,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Kyrgyzstan in 2027?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,KWT,Kuwait,MNA,HIC,2027,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Kuwait in 2027?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,LAO,Laos,EAP,LMC,2026,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Laos in 2026?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,MAR,Morocco,MNA,LMC,2026,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Morocco in 2026?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,MLT,Malta,ECA,HIC,2026,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Malta in 2026?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,OMN,Oman,MNA,HIC,2025,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Oman in 2025?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,TJK,Tajikistan,ECA,LMC,2027,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Tajikistan in 2027?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,YEM,Yemen,MNA,LIC,2025,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Yemen in 2025?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,ZMB,Zambia,ESA,LIC,2028,HALLUCINATION_T1,,direct,What was Neonatal mortality rate for Zambia in 2028?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,ATA,Antarctica,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Antarctica?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,ATF,French Southern Territories,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for French Southern Territories?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,BLM,Saint Barthelemy,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Saint Barthelemy?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,BVT,Bouvet Island,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Bouvet Island?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,CCK,Cocos Islands,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Cocos Islands?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,CYM,Cayman Islands,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Cayman Islands?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,ESH,Western Sahara,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Western Sahara?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,GLP,Guadeloupe,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Guadeloupe?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,GUF,French Guiana,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for French Guiana?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,IOT,British Indian Ocean Territory,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for British Indian Ocean Territory?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,MAF,Saint Martin (French),OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Saint Martin (French)?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,MTQ,Martinique,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Martinique?,,
CME_MRM0,Neonatal mortality rate,"per 1,000 live births",CME,annual_modeled,MYT,Mayotte,OTHER,HIC,2023,HALLUCINATION_T2,,baseline_latest,What is the latest available Neonatal mortality rate for Mayotte?,,
