indicator_code,country_code,country_name,year,query_type,prompt_type,gt_value,gt_year,a_value,a_year,b_value,b_year,er_a,ya_a,va_a,eqa_a,er_b,ya_b,va_b,eqa_b,hall_a,hall_b,a_tokens,b_tokens,a_latency_ms,b_latency_ms,b_n_tool_calls
CME_MRM0,AUS,Australia,2024,POSITIVE,baseline_latest,2.27641484400296,2024.0,3.1,2021.0,2.28,2024.0,1.0,0.25,0.6382095477163523,0.15955238692908807,1.0,1.0,0.9984250867075108,0.9984250867075108,False,False,182,6312,3510,10116,2
CME_MRM0,CHN,China,2024,POSITIVE,baseline_latest,2.59426436001617,2024.0,4.0,2021.0,2.59,2024.0,1.0,0.25,0.45813708824374866,0.11453427206093716,1.0,1.0,0.9983562353621727,0.9983562353621727,False,False,251,5413,4737,13085,2
CME_MRM0,DEU,Germany,2024,POSITIVE,baseline_latest,2.29629054104967,2024.0,2.4,2021.0,2.3,2024.0,1.0,0.25,0.9548360901652616,0.2387090225413154,1.0,1.0,0.9983845864083757,0.9983845864083757,False,False,173,6292,3775,8329,2
CME_MRM0,FRA,France,2023,POSITIVE,baseline_latest,2.83730354037707,2024.0,2.4,2021.0,2.84,2024.0,1.0,0.25,0.8458735436114271,0.21146838590285677,1.0,1.0,0.9990496400598113,0.9990496400598113,False,False,217,6801,4578,10943,2
CME_MRM0,FRA,France,2024,POSITIVE,baseline_latest,2.83730354037707,2024.0,2.4,2021.0,2.84,2024.0,1.0,0.25,0.8458735436114271,0.21146838590285677,1.0,1.0,0.9990496400598113,0.9990496400598113,False,False,216,6801,4448,13278,2
CME_MRM0,KEN,Kenya,2024,POSITIVE,baseline_latest,20.6990626052317,2024.0,22.0,2022.0,20.7,2024.0,1.0,0.5,0.9371499367106852,0.4685749683553426,1.0,1.0,0.9999547131777812,0.9999547131777812,False,False,213,6973,4805,8425,2
CME_MRM0,MLI,Mali,2024,POSITIVE,baseline_latest,27.9933206308862,2024.0,30.0,2021.0,27.99,2024.0,1.0,0.25,0.9283157794827761,0.23207894487069403,1.0,1.0,0.9998813777425699,0.9998813777425699,False,False,238,6536,4821,8886,2
CME_MRM0,NGA,Nigeria,2023,POSITIVE,baseline_latest,39.0457229325518,2024.0,39.0,2022.0,39.0,2024.0,1.0,0.5,0.998828989986156,0.499414494993078,1.0,1.0,0.998828989986156,0.998828989986156,False,False,214,6531,4556,11925,2
CME_MRM0,NGA,Nigeria,2024,POSITIVE,baseline_latest,39.0457229325518,2024.0,39.0,2022.0,39.0,2024.0,1.0,0.5,0.998828989986156,0.499414494993078,1.0,1.0,0.998828989986156,0.998828989986156,False,False,212,6531,5138,11762,2
CME_MRM0,PAK,Pakistan,2024,POSITIVE,baseline_latest,36.0985019506477,2024.0,42.0,2021.0,36.1,2024.0,1.0,0.25,0.836516815644578,0.2091292039111445,1.0,1.0,0.9999585010659349,0.9999585010659349,False,False,246,7146,6019,9452,2
