indicator_code,indicator_name,unit,domain,data_type,country_code,country_name,region,income,year,query_type,ground_truth_value
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2000,POSITIVE,170.984425434164
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2001,POSITIVE,238.99345463641
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2002,POSITIVE,143.24276903845
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2003,POSITIVE,130.007806581783
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2004,POSITIVE,118.748602455559
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2005,POSITIVE,109.686588624471
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2006,POSITIVE,102.726080488589
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2007,POSITIVE,96.8984556543118
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2008,POSITIVE,91.0459467433391
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2009,POSITIVE,85.3468046775058
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2010,POSITIVE,80.1306339610071
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2011,POSITIVE,74.019626915761
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2012,POSITIVE,67.8828480900788
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2013,POSITIVE,62.8586822995853
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2014,POSITIVE,60.034010232756
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2015,POSITIVE,57.3939491098124
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2016,POSITIVE,55.8271802126769
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2017,POSITIVE,53.8020320415328
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2018,POSITIVE,52.0266274244189
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2019,POSITIVE,51.2938479303391
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2020,POSITIVE,50.4241467507674
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2021,POSITIVE,49.9787308562768
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2022,POSITIVE,50.0865127758908
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2023,POSITIVE,49.6349790948417
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,MWI,Malawi,ESA,LIC,2024,POSITIVE,48.7827316524982
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2000,POSITIVE,152.387308951996
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2001,POSITIVE,147.524498286016
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2002,POSITIVE,142.347965342302
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2003,POSITIVE,136.618446072048
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2004,POSITIVE,130.409107793627
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2005,POSITIVE,123.704138696102
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2006,POSITIVE,116.558600969313
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2007,POSITIVE,109.455801151727
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2008,POSITIVE,102.646358649877
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2009,POSITIVE,96.0843437000628
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2010,POSITIVE,90.2153712917402
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2011,POSITIVE,84.7182706323911
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2012,POSITIVE,79.5786237774959
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2013,POSITIVE,74.8864431448066
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2014,POSITIVE,70.5792139319676
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2015,POSITIVE,66.9375505532429
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2016,POSITIVE,63.7037324741168
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2017,POSITIVE,60.8766598590854
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2018,POSITIVE,58.4852601324362
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2019,POSITIVE,56.2182400715095
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2020,POSITIVE,54.2724374104505
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2021,POSITIVE,52.2696425120978
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2022,POSITIVE,50.3405514960702
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2023,POSITIVE,48.6836722800881
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,BDI,Burundi,ESA,LIC,2024,POSITIVE,47.0576894611973
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2000,POSITIVE,85.277909983152
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2001,POSITIVE,81.1004697635315
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2002,POSITIVE,77.3194609568578
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2003,POSITIVE,73.7821172202707
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2004,POSITIVE,70.5335593433573
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2005,POSITIVE,67.4957798694448
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2006,POSITIVE,64.6813072547352
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2007,POSITIVE,62.036095761604
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2008,POSITIVE,59.6113870718037
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2009,POSITIVE,57.317036923581
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2010,POSITIVE,55.2256182884689
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2011,POSITIVE,53.2744598922601
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2012,POSITIVE,51.4474879669548
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2013,POSITIVE,49.6830499048339
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2014,POSITIVE,48.0606030215577
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2015,POSITIVE,46.3724888293243
CME_MRY0T4,Under-five mortality rate,"per 1,000 live births",CME,annual_modeled,ERI,Eritrea,ESA,LIC,2016,POSITIVE,44.7333328165431
